; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/oligos_7nt_mkv5_m5/peak-motifs_oligos_7nt_mkv5_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-360	-340	-350	1	1	1192	0.00084	0.00084	1.00000
-340	-320	-330	0	1	1191	0.00000	0.00084	0.99916
-320	-300	-310	0	1	1191	0.00000	0.00084	0.99916
-300	-280	-290	0	1	1191	0.00000	0.00084	0.99916
-280	-260	-270	0	1	1191	0.00000	0.00084	0.99916
-260	-240	-250	2	3	1191	0.00168	0.00252	0.99916
-240	-220	-230	0	3	1189	0.00000	0.00252	0.99748
-220	-200	-210	1	4	1189	0.00084	0.00336	0.99748
-200	-180	-190	6	10	1188	0.00503	0.00839	0.99664
-180	-160	-170	15	25	1182	0.01258	0.02097	0.99161
-160	-140	-150	18	43	1167	0.01510	0.03607	0.97903
-140	-120	-130	29	72	1149	0.02433	0.06040	0.96393
-120	-100	-110	52	124	1120	0.04362	0.10403	0.93960
-100	-80	-90	71	195	1068	0.05956	0.16359	0.89597
-80	-60	-70	94	289	997	0.07886	0.24245	0.83641
-60	-40	-50	93	382	903	0.07802	0.32047	0.75755
-40	-20	-30	104	486	810	0.08725	0.40772	0.67953
-20	0	-10	98	584	706	0.08221	0.48993	0.59228
0	20	10	96	680	608	0.08054	0.57047	0.51007
20	40	30	95	775	512	0.07970	0.65017	0.42953
40	60	50	111	886	417	0.09312	0.74329	0.34983
60	80	70	76	962	306	0.06376	0.80705	0.25671
80	100	90	62	1024	230	0.05201	0.85906	0.19295
100	120	110	48	1072	168	0.04027	0.89933	0.14094
120	140	130	36	1108	120	0.03020	0.92953	0.10067
140	160	150	35	1143	84	0.02936	0.95889	0.07047
160	180	170	28	1171	49	0.02349	0.98238	0.04111
180	200	190	8	1179	21	0.00671	0.98909	0.01762
200	220	210	6	1185	13	0.00503	0.99413	0.01091
220	240	230	2	1187	7	0.00168	0.99581	0.00587
240	260	250	1	1188	5	0.00084	0.99664	0.00419
260	280	270	0	1188	4	0.00000	0.99664	0.00336
280	300	290	1	1189	4	0.00084	0.99748	0.00336
300	320	310	2	1191	3	0.00168	0.99916	0.00252
320	340	330	1	1192	1	0.00084	1.00000	0.00084
; Statistics:
; -----------
; class interval     	20
; classes            	35
; count              	1192
; sum                	5887
; mean               	4.93876
; median class       	[-20..0[
; var                	7.45e+03
; std                	86.3065
; min                	-352
; max                	339
; range              	691
; Host name	biow
; Job started	2014-10-07.094151
; Job done	2014-10-07.094151
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
