; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_6nt_mkv4_m3/peak-motifs_oligos_6nt_mkv4_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-320	-300	-310	3	3	945	0.00317	0.00317	1.00000
-300	-280	-290	1	4	942	0.00106	0.00423	0.99683
-280	-260	-270	0	4	941	0.00000	0.00423	0.99577
-260	-240	-250	0	4	941	0.00000	0.00423	0.99577
-240	-220	-230	3	7	941	0.00317	0.00741	0.99577
-220	-200	-210	5	12	938	0.00529	0.01270	0.99259
-200	-180	-190	7	19	933	0.00741	0.02011	0.98730
-180	-160	-170	11	30	926	0.01164	0.03175	0.97989
-160	-140	-150	12	42	915	0.01270	0.04444	0.96825
-140	-120	-130	22	64	903	0.02328	0.06772	0.95556
-120	-100	-110	36	100	881	0.03810	0.10582	0.93228
-100	-80	-90	49	149	845	0.05185	0.15767	0.89418
-80	-60	-70	56	205	796	0.05926	0.21693	0.84233
-60	-40	-50	66	271	740	0.06984	0.28677	0.78307
-40	-20	-30	82	353	674	0.08677	0.37354	0.71323
-20	0	-10	103	456	592	0.10899	0.48254	0.62646
0	20	10	92	548	489	0.09735	0.57989	0.51746
20	40	30	98	646	397	0.10370	0.68360	0.42011
40	60	50	89	735	299	0.09418	0.77778	0.31640
60	80	70	67	802	210	0.07090	0.84868	0.22222
80	100	90	44	846	143	0.04656	0.89524	0.15132
100	120	110	41	887	99	0.04339	0.93862	0.10476
120	140	130	18	905	58	0.01905	0.95767	0.06138
140	160	150	12	917	40	0.01270	0.97037	0.04233
160	180	170	7	924	28	0.00741	0.97778	0.02963
180	200	190	9	933	21	0.00952	0.98730	0.02222
200	220	210	6	939	12	0.00635	0.99365	0.01270
220	240	230	2	941	6	0.00212	0.99577	0.00635
240	260	250	1	942	4	0.00106	0.99683	0.00423
260	280	270	0	942	3	0.00000	0.99683	0.00317
280	300	290	1	943	3	0.00106	0.99788	0.00317
300	320	310	1	944	2	0.00106	0.99894	0.00212
320	340	330	0	944	1	0.00000	0.99894	0.00106
340	360	350	1	945	1	0.00106	1.00000	0.00106
; Statistics:
; -----------
; class interval     	20
; classes            	34
; count              	945
; sum                	1601.5
; mean               	1.69471
; median class       	[-20..0[
; var                	7e+03
; std                	83.6676
; min                	-317.5
; max                	342.5
; range              	660
; Host name	biow
; Job started	2014-10-08.084559
; Job done	2014-10-08.084559
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
