; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/oligos_6nt_mkv4_m5/peak-motifs_oligos_6nt_mkv4_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-440	-420	-430	1	1	855	0.00117	0.00117	1.00000
-420	-400	-410	0	1	854	0.00000	0.00117	0.99883
-400	-380	-390	0	1	854	0.00000	0.00117	0.99883
-380	-360	-370	0	1	854	0.00000	0.00117	0.99883
-360	-340	-350	0	1	854	0.00000	0.00117	0.99883
-340	-320	-330	0	1	854	0.00000	0.00117	0.99883
-320	-300	-310	0	1	854	0.00000	0.00117	0.99883
-300	-280	-290	0	1	854	0.00000	0.00117	0.99883
-280	-260	-270	0	1	854	0.00000	0.00117	0.99883
-260	-240	-250	0	1	854	0.00000	0.00117	0.99883
-240	-220	-230	1	2	854	0.00117	0.00234	0.99883
-220	-200	-210	3	5	853	0.00351	0.00585	0.99766
-200	-180	-190	6	11	850	0.00702	0.01287	0.99415
-180	-160	-170	16	27	844	0.01871	0.03158	0.98713
-160	-140	-150	16	43	828	0.01871	0.05029	0.96842
-140	-120	-130	26	69	812	0.03041	0.08070	0.94971
-120	-100	-110	35	104	786	0.04094	0.12164	0.91930
-100	-80	-90	46	150	751	0.05380	0.17544	0.87836
-80	-60	-70	50	200	705	0.05848	0.23392	0.82456
-60	-40	-50	69	269	655	0.08070	0.31462	0.76608
-40	-20	-30	65	334	586	0.07602	0.39064	0.68538
-20	0	-10	78	412	521	0.09123	0.48187	0.60936
0	20	10	88	500	443	0.10292	0.58480	0.51813
20	40	30	84	584	355	0.09825	0.68304	0.41520
40	60	50	64	648	271	0.07485	0.75789	0.31696
60	80	70	58	706	207	0.06784	0.82573	0.24211
80	100	90	34	740	149	0.03977	0.86550	0.17427
100	120	110	37	777	115	0.04327	0.90877	0.13450
120	140	130	32	809	78	0.03743	0.94620	0.09123
140	160	150	19	828	46	0.02222	0.96842	0.05380
160	180	170	10	838	27	0.01170	0.98012	0.03158
180	200	190	8	846	17	0.00936	0.98947	0.01988
200	220	210	2	848	9	0.00234	0.99181	0.01053
220	240	230	3	851	7	0.00351	0.99532	0.00819
240	260	250	0	851	4	0.00000	0.99532	0.00468
260	280	270	0	851	4	0.00000	0.99532	0.00468
280	300	290	3	854	4	0.00351	0.99883	0.00468
300	320	310	0	854	1	0.00000	0.99883	0.00117
320	340	330	0	854	1	0.00000	0.99883	0.00117
340	360	350	1	855	1	0.00117	1.00000	0.00117
; Statistics:
; -----------
; class interval     	20
; classes            	40
; count              	855
; sum                	1493
; mean               	1.7462
; median class       	[-20..0[
; var                	7.68e+03
; std                	87.6324
; min                	-440
; max                	355
; range              	795
; Host name	biow
; Job started	2014-10-07.094007
; Job done	2014-10-07.094007
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
