; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/positions_7nt_m1/peak-motifs_positions_7nt_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-380	-360	-370	1	1	555	0.00180	0.00180	1.00000
-360	-340	-350	0	1	554	0.00000	0.00180	0.99820
-340	-320	-330	0	1	554	0.00000	0.00180	0.99820
-320	-300	-310	1	2	554	0.00180	0.00360	0.99820
-300	-280	-290	0	2	553	0.00000	0.00360	0.99640
-280	-260	-270	0	2	553	0.00000	0.00360	0.99640
-260	-240	-250	1	3	553	0.00180	0.00541	0.99640
-240	-220	-230	0	3	552	0.00000	0.00541	0.99459
-220	-200	-210	2	5	552	0.00360	0.00901	0.99459
-200	-180	-190	0	5	550	0.00000	0.00901	0.99099
-180	-160	-170	3	8	550	0.00541	0.01441	0.99099
-160	-140	-150	8	16	547	0.01441	0.02883	0.98559
-140	-120	-130	5	21	539	0.00901	0.03784	0.97117
-120	-100	-110	10	31	534	0.01802	0.05586	0.96216
-100	-80	-90	14	45	524	0.02523	0.08108	0.94414
-80	-60	-70	28	73	510	0.05045	0.13153	0.91892
-60	-40	-50	51	124	482	0.09189	0.22342	0.86847
-40	-20	-30	71	195	431	0.12793	0.35135	0.77658
-20	0	-10	107	302	360	0.19279	0.54414	0.64865
0	20	10	82	384	253	0.14775	0.69189	0.45586
20	40	30	64	448	171	0.11532	0.80721	0.30811
40	60	50	44	492	107	0.07928	0.88649	0.19279
60	80	70	27	519	63	0.04865	0.93514	0.11351
80	100	90	12	531	36	0.02162	0.95676	0.06486
100	120	110	11	542	24	0.01982	0.97658	0.04324
120	140	130	1	543	13	0.00180	0.97838	0.02342
140	160	150	6	549	12	0.01081	0.98919	0.02162
160	180	170	4	553	6	0.00721	0.99640	0.01081
180	200	190	0	553	2	0.00000	0.99640	0.00360
200	220	210	1	554	2	0.00180	0.99820	0.00360
220	240	230	0	554	1	0.00000	0.99820	0.00180
240	260	250	1	555	1	0.00180	1.00000	0.00180
; Statistics:
; -----------
; class interval     	20
; classes            	32
; count              	555
; sum                	-2431
; mean               	-4.38018
; median class       	[-40..-20[
; var                	3.95e+03
; std                	62.836
; min                	-370
; max                	255
; range              	625
; Host name	biow
; Job started	2014-10-07.094201
; Job done	2014-10-07.094201
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
