; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/positions_7nt_m4/peak-motifs_positions_7nt_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-380	-360	-370	1	1	630	0.00159	0.00159	1.00000
-360	-340	-350	0	1	629	0.00000	0.00159	0.99841
-340	-320	-330	0	1	629	0.00000	0.00159	0.99841
-320	-300	-310	2	3	629	0.00317	0.00476	0.99841
-300	-280	-290	0	3	627	0.00000	0.00476	0.99524
-280	-260	-270	0	3	627	0.00000	0.00476	0.99524
-260	-240	-250	0	3	627	0.00000	0.00476	0.99524
-240	-220	-230	0	3	627	0.00000	0.00476	0.99524
-220	-200	-210	1	4	627	0.00159	0.00635	0.99524
-200	-180	-190	4	8	626	0.00635	0.01270	0.99365
-180	-160	-170	9	17	622	0.01429	0.02698	0.98730
-160	-140	-150	6	23	613	0.00952	0.03651	0.97302
-140	-120	-130	5	28	607	0.00794	0.04444	0.96349
-120	-100	-110	17	45	602	0.02698	0.07143	0.95556
-100	-80	-90	19	64	585	0.03016	0.10159	0.92857
-80	-60	-70	27	91	566	0.04286	0.14444	0.89841
-60	-40	-50	60	151	539	0.09524	0.23968	0.85556
-40	-20	-30	110	261	479	0.17460	0.41429	0.76032
-20	0	-10	105	366	369	0.16667	0.58095	0.58571
0	20	10	78	444	264	0.12381	0.70476	0.41905
20	40	30	67	511	186	0.10635	0.81111	0.29524
40	60	50	32	543	119	0.05079	0.86190	0.18889
60	80	70	29	572	87	0.04603	0.90794	0.13810
80	100	90	25	597	58	0.03968	0.94762	0.09206
100	120	110	9	606	33	0.01429	0.96190	0.05238
120	140	130	10	616	24	0.01587	0.97778	0.03810
140	160	150	5	621	14	0.00794	0.98571	0.02222
160	180	170	4	625	9	0.00635	0.99206	0.01429
180	200	190	2	627	5	0.00317	0.99524	0.00794
200	220	210	1	628	3	0.00159	0.99683	0.00476
220	240	230	0	628	2	0.00000	0.99683	0.00317
240	260	250	1	629	2	0.00159	0.99841	0.00317
260	280	270	1	630	1	0.00159	1.00000	0.00159
; Statistics:
; -----------
; class interval     	20
; classes            	33
; count              	630
; sum                	-4764
; mean               	-7.5619
; median class       	[-40..-20[
; var                	4.75e+03
; std                	68.8964
; min                	-370
; max                	272
; range              	642
; Host name	biow
; Job started	2014-10-07.094236
; Job done	2014-10-07.094236
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
