; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_6nt_mkv4_m4/peak-motifs_oligos_6nt_mkv4_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-420	-400	-410	1	1	1066	0.00094	0.00094	1.00000
-400	-380	-390	0	1	1065	0.00000	0.00094	0.99906
-380	-360	-370	0	1	1065	0.00000	0.00094	0.99906
-360	-340	-350	0	1	1065	0.00000	0.00094	0.99906
-340	-320	-330	0	1	1065	0.00000	0.00094	0.99906
-320	-300	-310	0	1	1065	0.00000	0.00094	0.99906
-300	-280	-290	1	2	1065	0.00094	0.00188	0.99906
-280	-260	-270	1	3	1064	0.00094	0.00281	0.99812
-260	-240	-250	3	6	1063	0.00281	0.00563	0.99719
-240	-220	-230	2	8	1060	0.00188	0.00750	0.99437
-220	-200	-210	6	14	1058	0.00563	0.01313	0.99250
-200	-180	-190	6	20	1052	0.00563	0.01876	0.98687
-180	-160	-170	10	30	1046	0.00938	0.02814	0.98124
-160	-140	-150	17	47	1036	0.01595	0.04409	0.97186
-140	-120	-130	36	83	1019	0.03377	0.07786	0.95591
-120	-100	-110	50	133	983	0.04690	0.12477	0.92214
-100	-80	-90	46	179	933	0.04315	0.16792	0.87523
-80	-60	-70	59	238	887	0.05535	0.22326	0.83208
-60	-40	-50	94	332	828	0.08818	0.31144	0.77674
-40	-20	-30	96	428	734	0.09006	0.40150	0.68856
-20	0	-10	117	545	638	0.10976	0.51126	0.59850
0	20	10	105	650	521	0.09850	0.60976	0.48874
20	40	30	105	755	416	0.09850	0.70826	0.39024
40	60	50	76	831	311	0.07129	0.77955	0.29174
60	80	70	66	897	235	0.06191	0.84146	0.22045
80	100	90	50	947	169	0.04690	0.88837	0.15854
100	120	110	30	977	119	0.02814	0.91651	0.11163
120	140	130	44	1021	89	0.04128	0.95779	0.08349
140	160	150	10	1031	45	0.00938	0.96717	0.04221
160	180	170	9	1040	35	0.00844	0.97561	0.03283
180	200	190	8	1048	26	0.00750	0.98311	0.02439
200	220	210	11	1059	18	0.01032	0.99343	0.01689
220	240	230	3	1062	7	0.00281	0.99625	0.00657
240	260	250	1	1063	4	0.00094	0.99719	0.00375
260	280	270	0	1063	3	0.00000	0.99719	0.00281
280	300	290	0	1063	3	0.00000	0.99719	0.00281
300	320	310	1	1064	3	0.00094	0.99812	0.00281
320	340	330	2	1066	2	0.00188	1.00000	0.00188
; Statistics:
; -----------
; class interval     	20
; classes            	38
; count              	1066
; sum                	-1781
; mean               	-1.67073
; median class       	[-40..-20[
; var                	7.38e+03
; std                	85.925
; min                	-416
; max                	338
; range              	754
; Host name	biow
; Job started	2014-10-08.084608
; Job done	2014-10-08.084608
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
