; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m1/peak-motifs_oligos_7nt_mkv5_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-280	-260	-270	1	1	1096	0.00091	0.00091	1.00000
-260	-240	-250	0	1	1095	0.00000	0.00091	0.99909
-240	-220	-230	3	4	1095	0.00274	0.00365	0.99909
-220	-200	-210	4	8	1092	0.00365	0.00730	0.99635
-200	-180	-190	7	15	1088	0.00639	0.01369	0.99270
-180	-160	-170	21	36	1081	0.01916	0.03285	0.98631
-160	-140	-150	20	56	1060	0.01825	0.05109	0.96715
-140	-120	-130	38	94	1040	0.03467	0.08577	0.94891
-120	-100	-110	50	144	1002	0.04562	0.13139	0.91423
-100	-80	-90	36	180	952	0.03285	0.16423	0.86861
-80	-60	-70	65	245	916	0.05931	0.22354	0.83577
-60	-40	-50	74	319	851	0.06752	0.29106	0.77646
-40	-20	-30	107	426	777	0.09763	0.38869	0.70894
-20	0	-10	117	543	670	0.10675	0.49544	0.61131
0	20	10	112	655	553	0.10219	0.59763	0.50456
20	40	30	105	760	441	0.09580	0.69343	0.40237
40	60	50	83	843	336	0.07573	0.76916	0.30657
60	80	70	73	916	253	0.06661	0.83577	0.23084
80	100	90	52	968	180	0.04745	0.88321	0.16423
100	120	110	43	1011	128	0.03923	0.92245	0.11679
120	140	130	22	1033	85	0.02007	0.94252	0.07755
140	160	150	15	1048	63	0.01369	0.95620	0.05748
160	180	170	18	1066	48	0.01642	0.97263	0.04380
180	200	190	13	1079	30	0.01186	0.98449	0.02737
200	220	210	8	1087	17	0.00730	0.99179	0.01551
220	240	230	3	1090	9	0.00274	0.99453	0.00821
240	260	250	3	1093	6	0.00274	0.99726	0.00547
260	280	270	1	1094	3	0.00091	0.99818	0.00274
280	300	290	0	1094	2	0.00000	0.99818	0.00182
300	320	310	1	1095	2	0.00091	0.99909	0.00182
320	340	330	0	1095	1	0.00000	0.99909	0.00091
340	360	350	0	1095	1	0.00000	0.99909	0.00091
360	380	370	0	1095	1	0.00000	0.99909	0.00091
380	400	390	0	1095	1	0.00000	0.99909	0.00091
400	420	410	0	1095	1	0.00000	0.99909	0.00091
420	440	430	1	1096	1	0.00091	1.00000	0.00091
; Statistics:
; -----------
; class interval     	20
; classes            	36
; count              	1096
; sum                	1618
; mean               	1.47628
; median class       	[-20..0[
; var                	7.46e+03
; std                	86.3587
; min                	-273.5
; max                	433.5
; range              	707
; Host name	biow
; Job started	2014-10-08.084635
; Job done	2014-10-08.084635
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
