; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m4/peak-motifs_oligos_7nt_mkv5_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-360	-340	-350	1	1	1081	0.00093	0.00093	1.00000
-340	-320	-330	1	2	1080	0.00093	0.00185	0.99907
-320	-300	-310	1	3	1079	0.00093	0.00278	0.99815
-300	-280	-290	0	3	1078	0.00000	0.00278	0.99722
-280	-260	-270	1	4	1078	0.00093	0.00370	0.99722
-260	-240	-250	1	5	1077	0.00093	0.00463	0.99630
-240	-220	-230	2	7	1076	0.00185	0.00648	0.99537
-220	-200	-210	3	10	1074	0.00278	0.00925	0.99352
-200	-180	-190	10	20	1071	0.00925	0.01850	0.99075
-180	-160	-170	10	30	1061	0.00925	0.02775	0.98150
-160	-140	-150	24	54	1051	0.02220	0.04995	0.97225
-140	-120	-130	21	75	1027	0.01943	0.06938	0.95005
-120	-100	-110	37	112	1006	0.03423	0.10361	0.93062
-100	-80	-90	53	165	969	0.04903	0.15264	0.89639
-80	-60	-70	61	226	916	0.05643	0.20907	0.84736
-60	-40	-50	97	323	855	0.08973	0.29880	0.79093
-40	-20	-30	128	451	758	0.11841	0.41721	0.70120
-20	0	-10	110	561	630	0.10176	0.51896	0.58279
0	20	10	93	654	520	0.08603	0.60500	0.48104
20	40	30	111	765	427	0.10268	0.70768	0.39500
40	60	50	76	841	316	0.07031	0.77798	0.29232
60	80	70	69	910	240	0.06383	0.84181	0.22202
80	100	90	45	955	171	0.04163	0.88344	0.15819
100	120	110	50	1005	126	0.04625	0.92969	0.11656
120	140	130	20	1025	76	0.01850	0.94820	0.07031
140	160	150	21	1046	56	0.01943	0.96762	0.05180
160	180	170	15	1061	35	0.01388	0.98150	0.03238
180	200	190	9	1070	20	0.00833	0.98982	0.01850
200	220	210	2	1072	11	0.00185	0.99167	0.01018
220	240	230	3	1075	9	0.00278	0.99445	0.00833
240	260	250	2	1077	6	0.00185	0.99630	0.00555
260	280	270	3	1080	4	0.00278	0.99907	0.00370
280	300	290	1	1081	1	0.00093	1.00000	0.00093
; Statistics:
; -----------
; class interval     	20
; classes            	33
; count              	1081
; sum                	-13.5
; mean               	-0.0124884
; median class       	[-40..-20[
; var                	7.05e+03
; std                	83.9779
; min                	-344.5
; max                	296.5
; range              	641
; Host name	biow
; Job started	2014-10-08.084700
; Job done	2014-10-08.084700
; Seconds	0.24
;	user	0.24
;	system	0
;	cuser	0
;	csystem	0
