; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/positions_7nt_m5/peak-motifs_positions_7nt_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-380	-360	-370	1	1	436	0.00229	0.00229	1.00000
-360	-340	-350	0	1	435	0.00000	0.00229	0.99771
-340	-320	-330	0	1	435	0.00000	0.00229	0.99771
-320	-300	-310	2	3	435	0.00459	0.00688	0.99771
-300	-280	-290	0	3	433	0.00000	0.00688	0.99312
-280	-260	-270	0	3	433	0.00000	0.00688	0.99312
-260	-240	-250	0	3	433	0.00000	0.00688	0.99312
-240	-220	-230	2	5	433	0.00459	0.01147	0.99312
-220	-200	-210	0	5	431	0.00000	0.01147	0.98853
-200	-180	-190	0	5	431	0.00000	0.01147	0.98853
-180	-160	-170	2	7	431	0.00459	0.01606	0.98853
-160	-140	-150	7	14	429	0.01606	0.03211	0.98394
-140	-120	-130	7	21	422	0.01606	0.04817	0.96789
-120	-100	-110	8	29	415	0.01835	0.06651	0.95183
-100	-80	-90	15	44	407	0.03440	0.10092	0.93349
-80	-60	-70	15	59	392	0.03440	0.13532	0.89908
-60	-40	-50	35	94	377	0.08028	0.21560	0.86468
-40	-20	-30	61	155	342	0.13991	0.35550	0.78440
-20	0	-10	81	236	281	0.18578	0.54128	0.64450
0	20	10	60	296	200	0.13761	0.67890	0.45872
20	40	30	48	344	140	0.11009	0.78899	0.32110
40	60	50	29	373	92	0.06651	0.85550	0.21101
60	80	70	24	397	63	0.05505	0.91055	0.14450
80	100	90	20	417	39	0.04587	0.95642	0.08945
100	120	110	9	426	19	0.02064	0.97706	0.04358
120	140	130	5	431	10	0.01147	0.98853	0.02294
140	160	150	1	432	5	0.00229	0.99083	0.01147
160	180	170	1	433	4	0.00229	0.99312	0.00917
180	200	190	0	433	3	0.00000	0.99312	0.00688
200	220	210	2	435	3	0.00459	0.99771	0.00688
220	240	230	0	435	1	0.00000	0.99771	0.00229
240	260	250	1	436	1	0.00229	1.00000	0.00229
; Statistics:
; -----------
; class interval     	20
; classes            	32
; count              	436
; sum                	-1808
; mean               	-4.14679
; median class       	[-40..-20[
; var                	4.56e+03
; std                	67.5439
; min                	-370.5
; max                	255.5
; range              	626
; Host name	biow
; Job started	2014-10-07.094247
; Job done	2014-10-07.094247
; Seconds	0.22
;	user	0.22
;	system	0.02
;	cuser	0
;	csystem	0
