; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_6nt_mkv4_m5/peak-motifs_oligos_6nt_mkv4_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-340	-320	-330	1	1	1278	0.00078	0.00078	1.00000
-320	-300	-310	1	2	1277	0.00078	0.00156	0.99922
-300	-280	-290	1	3	1276	0.00078	0.00235	0.99844
-280	-260	-270	2	5	1275	0.00156	0.00391	0.99765
-260	-240	-250	2	7	1273	0.00156	0.00548	0.99609
-240	-220	-230	2	9	1271	0.00156	0.00704	0.99452
-220	-200	-210	7	16	1269	0.00548	0.01252	0.99296
-200	-180	-190	7	23	1262	0.00548	0.01800	0.98748
-180	-160	-170	21	44	1255	0.01643	0.03443	0.98200
-160	-140	-150	20	64	1234	0.01565	0.05008	0.96557
-140	-120	-130	29	93	1214	0.02269	0.07277	0.94992
-120	-100	-110	53	146	1185	0.04147	0.11424	0.92723
-100	-80	-90	71	217	1132	0.05556	0.16980	0.88576
-80	-60	-70	75	292	1061	0.05869	0.22848	0.83020
-60	-40	-50	106	398	986	0.08294	0.31142	0.77152
-40	-20	-30	112	510	880	0.08764	0.39906	0.68858
-20	0	-10	118	628	768	0.09233	0.49139	0.60094
0	20	10	127	755	650	0.09937	0.59077	0.50861
20	40	30	128	883	523	0.10016	0.69092	0.40923
40	60	50	95	978	395	0.07433	0.76526	0.30908
60	80	70	90	1068	300	0.07042	0.83568	0.23474
80	100	90	54	1122	210	0.04225	0.87793	0.16432
100	120	110	43	1165	156	0.03365	0.91158	0.12207
120	140	130	36	1201	113	0.02817	0.93975	0.08842
140	160	150	23	1224	77	0.01800	0.95775	0.06025
160	180	170	21	1245	54	0.01643	0.97418	0.04225
180	200	190	8	1253	33	0.00626	0.98044	0.02582
200	220	210	10	1263	25	0.00782	0.98826	0.01956
220	240	230	5	1268	15	0.00391	0.99218	0.01174
240	260	250	5	1273	10	0.00391	0.99609	0.00782
260	280	270	2	1275	5	0.00156	0.99765	0.00391
280	300	290	1	1276	3	0.00078	0.99844	0.00235
300	320	310	2	1278	2	0.00156	1.00000	0.00156
; Statistics:
; -----------
; class interval     	20
; classes            	33
; count              	1278
; sum                	1488
; mean               	1.16432
; median class       	[-20..0[
; var                	7.78e+03
; std                	88.228
; min                	-331
; max                	308
; range              	639
; Host name	biow
; Job started	2014-10-08.084618
; Job done	2014-10-08.084618
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
